dev,hw,threads,grad,jit,np,qubits,comp,exec
lightning.kokkos,CPU,16,-,-,-,15,0.000,0.125
lightning.kokkos,CPU,16,-,-,-,20,0.000,0.401
lightning.kokkos,CPU,16,-,-,-,21,0.000,0.679
lightning.kokkos,CPU,16,-,-,-,22,0.000,1.186
lightning.kokkos,CPU,16,-,-,-,23,0.000,2.182
lightning.kokkos,CPU,16,-,-,-,24,0.000,4.614
lightning.kokkos,CPU,16,-,-,-,25,0.000,10.505
lightning.kokkos,CPU,16,-,-,-,26,0.000,32.876
lightning.kokkos,CPU,16,-,-,-,27,0.000,76.580
lightning.kokkos,CPU,32,-,-,-,15,0.000,0.128
lightning.kokkos,CPU,32,-,-,-,16,0.000,0.142
lightning.kokkos,CPU,32,-,-,-,17,0.000,0.166
lightning.kokkos,CPU,32,-,-,-,18,0.000,0.220
lightning.kokkos,CPU,32,-,-,-,19,0.000,0.262
lightning.kokkos,CPU,32,-,-,-,20,0.000,0.353
lightning.kokkos,CPU,32,-,-,-,21,0.000,0.494
lightning.kokkos,CPU,32,-,-,-,22,0.000,0.801
lightning.kokkos,CPU,32,-,-,-,23,0.000,1.423
lightning.kokkos,CPU,32,-,-,-,24,0.000,2.934
lightning.kokkos,CPU,32,-,-,-,25,0.000,6.621
lightning.kokkos,CPU,32,-,-,-,26,0.000,29.947
lightning.kokkos,CPU,32,-,-,-,27,0.000,64.426
lightning.kokkos,CPU,64,-,-,-,15,0.000,0.135
lightning.kokkos,CPU,64,-,-,-,20,0.000,0.341
lightning.kokkos,CPU,64,-,-,-,21,0.000,0.474
lightning.kokkos,CPU,64,-,-,-,22,0.000,0.653
lightning.kokkos,CPU,64,-,-,-,23,0.000,1.052
lightning.kokkos,CPU,64,-,-,-,24,0.000,2.247
lightning.kokkos,CPU,64,-,-,-,25,0.000,5.124
lightning.kokkos,CPU,64,-,-,-,26,0.000,33.576
lightning.kokkos,CPU,64,-,-,-,27,0.000,72.099
lightning.kokkos,GPU,0,-,-,-,15,0.000,0.118
lightning.kokkos,GPU,0,-,-,-,20,0.000,0.224
lightning.kokkos,GPU,0,-,-,-,21,0.000,0.280
lightning.kokkos,GPU,0,-,-,-,22,0.000,0.477
lightning.kokkos,GPU,0,-,-,-,23,0.000,0.759
lightning.kokkos,GPU,0,-,-,-,24,0.000,1.451
lightning.kokkos,GPU,0,-,-,-,25,0.000,2.858
lightning.kokkos,GPU,0,-,-,-,26,0.000,5.795
lightning.kokkos,GPU,0,-,-,-,27,0.000,12.113
lightning.kokkos,GPU,0,-,-,-,28,0.000,25.542
lightning.kokkos,GPU,0,-,-,-,29,0.000,54.042
lightning.kokkos,GPU,0,-,-,-,30,0.000,114.467
lightning.kokkos,CPU,32,-,qjit,-,15,10.045,0.029
lightning.kokkos,CPU,32,-,qjit,-,16,11.415,0.043
lightning.kokkos,CPU,32,-,qjit,-,17,12.532,0.063
lightning.kokkos,CPU,32,-,qjit,-,18,13.544,0.103
lightning.kokkos,CPU,32,-,qjit,-,19,15.033,0.160
lightning.kokkos,CPU,32,-,qjit,-,20,16.750,0.331
lightning.kokkos,CPU,32,-,qjit,-,21,18.347,0.341
lightning.kokkos,CPU,32,-,qjit,-,22,20.144,0.671
lightning.kokkos,CPU,32,-,qjit,-,23,22.126,1.345
lightning.kokkos,CPU,32,-,qjit,-,24,24.765,3.227
lightning.kokkos,CPU,32,-,qjit,-,25,31.732,9.668
lightning.kokkos,CPU,32,-,qjit,-,26,58.165,32.451
lightning.kokkos,CPU,32,-,qjit,-,27,92.592,65.517
